Weight	Nested	Procedure	TimeStartStimulus	TrialNumber	DurationTime
1		FlexibilityTrial	0	1	8000
1		FlexibilityTrial	8	1	8000
1		Fixation	16	0	8000
1		FlexibilityTrial	24	1	8000
1		Fixation	32	0	2000
1	SlideImage	ControlTrial	34	2	8000
1		Fixation	42	0	4000
1		FlexibilityTrial	46	1	8000
1		Fixation	54	0	4000
1	SlideImage	ControlTrial	58	2	8000
1	SlideImage	ControlTrial	66	2	8000
1		Fixation	74	0	2000
1	SlideImage	ControlTrial	76	2	8000
1		Fixation	84	0	6000
1		FlexibilityTrial	90	1	8000
1	SlideImage	ControlTrial	98	2	8000
1		FlexibilityTrial	106	1	8000
1		Fixation	114	0	12000
1		FlexibilityTrial	126	1	8000
1		Fixation	134	0	2000
1	SlideImage	ControlTrial	136	2	8000
1		Fixation	144	0	4000
1		FlexibilityTrial	148	1	8000
1		Fixation	156	0	4000
1		FlexibilityTrial	160	1	8000
1		Fixation	168	0	4000
1	SlideImage	ControlTrial	172	2	8000
1		Fixation	180	0	4000
1		FlexibilityTrial	184	1	8000
1		Fixation	192	0	4000
1	SlideImage	ControlTrial	196	2	8000
1		Fixation	204	0	4000
1	SlideImage	ControlTrial	208	2	8000
1		Fixation	216	0	10000
1	SlideImage	ControlTrial	226	2	8000
1		Fixation	234	0	6000
